(714, 354)
(715, 353)
(702, 334)
(703, 317)
(701, 306)
(699, 298)
(696, 291)
(693, 286)
(697, 284)
(696, 279)
(699, 270)
(709, 254)
(710, 238)
(713, 227)
(732, 227)
(740, 211)
(748, 201)
(754, 195)
(764, 196)
(781, 203)
(776, 198)
(745, 236)
(746, 256)
(744, 274)
(746, 298)
(741, 319)
(751, 346)
(752, 377)
(758, 399)
(764, 414)
(769, 422)
(766, 426)
(766, 423)
(758, 446)
(753, 467)
(758, 471)
(757, 461)
(756, 453)
(751, 424)
(753, 395)
(753, 377)
(751, 359)
(755, 358)
(753, 346)
(755, 368)
(759, 373)
(755, 376)
(750, 370)
(756, 351)
(753, 353)
(750, 390)
(747, 409)
(728, 382)
(726, 390)
(722, 392)
(720, 387)
(725, 386)
(726, 397)
(730, 376)
(735, 366)
(735, 362)
(681, 384)
(740, 395)
(742, 396)
(745, 367)
(748, 362)
(749, 356)
(752, 383)
(756, 363)
(762, 351)
(763, 330)
(767, 321)
(769, 314)
(770, 315)
(774, 316)
(768, 330)
(764, 346)
(769, 349)
(767, 357)
(769, 365)
(767, 370)
(763, 366)
(748, 393)
(741, 420)
(730, 457)
(753, 454)
(745, 458)
(747, 419)
(735, 384)
(746, 355)
(747, 332)
(749, 319)
(749, 363)
(753, 385)
(752, 396)
(746, 366)
(751, 381)
(750, 365)
(747, 361)
(745, 357)
(741, 350)
(737, 362)
(733, 369)
(727, 417)
(737, 449)
(700, 466)
(673, 472)
(659, 474)
(652, 476)
(647, 473)
(643, 470)
(640, 467)
(633, 446)
(616, 436)
(600, 433)
(588, 429)
(580, 427)
(571, 425)
(565, 428)
(554, 434)
(533, 445)
(511, 439)
(467, 430)
(439, 417)
(408, 424)
(377, 404)
(344, 395)
(323, 389)
(303, 389)
(288, 384)
(276, 405)
(261, 424)
(246, 437)
(259, 464)
(259, 488)
(260, 500)
(264, 501)
(256, 502)
(266, 499)
(307, 491)
(329, 493)
(353, 471)
(373, 465)
(404, 444)
(439, 431)
(464, 420)
(493, 438)
(524, 441)
(558, 451)
(590, 467)
(623, 470)
(650, 490)
(677, 495)
(685, 497)
(710, 484)
(718, 489)
(742, 485)
(756, 446)
(750, 416)
(752, 393)
(740, 361)
(753, 344)
(750, 325)
(753, 311)
(756, 305)
(755, 302)
(755, 301)
(748, 301)
(751, 327)
(736, 375)
(744, 395)
(749, 411)
(749, 418)
(741, 435)
(747, 429)
(746, 430)
(747, 399)
(746, 385)
(747, 384)
(742, 350)
(739, 321)
(739, 327)
(746, 348)
(746, 346)
(743, 346)
(725, 360)
(678, 377)
(660, 399)
(647, 416)
(637, 433)
(647, 458)
(633, 464)
(625, 463)
(662, 462)
(667, 467)
(633, 465)
(630, 464)
(654, 398)
(688, 460)
(720, 457)
(724, 428)
(713, 380)
(715, 357)
(719, 345)
(723, 334)
(725, 332)
(726, 322)
(704, 299)
(711, 277)
(703, 235)
(704, 202)
(737, 198)
(748, 174)
(754, 158)
(754, 180)
(762, 173)
(760, 203)
(768, 224)
(769, 237)
(775, 231)
(774, 239)
(773, 241)
(767, 246)
(768, 252)
(741, 264)
(729, 283)
(722, 302)
(715, 316)
(731, 340)
(730, 364)
(765, 366)
(771, 383)
(766, 359)
(773, 344)
(770, 325)
(770, 313)
(768, 337)
(768, 326)
(771, 322)
(766, 318)
(759, 350)
(759, 367)
(751, 378)
(707, 439)
(730, 441)
(737, 432)
(729, 419)
(716, 391)
(732, 383)
(736, 367)
(755, 371)
(756, 367)
(761, 363)
(762, 362)
(761, 359)
(759, 358)
(756, 357)
(749, 352)
(743, 349)
(734, 350)
(725, 352)
(698, 344)
(697, 345)
(685, 342)
(685, 341)
(681, 339)
(677, 339)
(660, 340)
(650, 336)
(642, 331)
(631, 329)
(629, 323)
(611, 320)
(596, 318)
(566, 329)
(546, 328)
(535, 339)
(549, 387)
(548, 415)
(596, 420)
(624, 441)
(656, 451)
(675, 473)
(701, 474)
(732, 457)
(758, 456)
(770, 438)
(765, 423)
(769, 411)
(767, 397)
(764, 403)
(759, 399)
(754, 402)
(744, 423)
(723, 377)
(725, 367)
(718, 343)
(720, 321)
(726, 314)
(731, 321)
(724, 310)
(729, 308)
(729, 304)
(735, 313)
(734, 305)
(745, 313)
(746, 310)
(747, 334)
(753, 340)
(747, 354)
(761, 356)
(741, 378)
(741, 399)
(741, 418)
(740, 428)
(737, 434)
(734, 446)
(770, 445)
(769, 454)
(770, 443)
(765, 434)
(765, 397)
(768, 384)
(767, 399)
(768, 409)
(765, 403)
(759, 390)
(757, 368)
(756, 341)
(740, 314)
(747, 290)
(740, 265)
(746, 296)
(753, 303)
(748, 279)
(749, 262)
(747, 252)
(743, 235)
(748, 222)
(743, 247)
(746, 234)
(737, 280)
(725, 316)
(720, 361)
(731, 392)
(735, 416)
(731, 392)
(731, 389)
(720, 380)
(726, 371)
(726, 357)
(724, 366)
(710, 393)
(714, 411)
(723, 415)
(717, 428)
(726, 402)
(729, 406)
(733, 400)
(734, 399)
(724, 370)
(727, 326)
(737, 296)
(744, 275)
(735, 241)
(743, 214)
(753, 194)
(757, 178)
(761, 181)
(767, 189)
(772, 203)
(780, 220)
(759, 239)
(754, 260)
(752, 284)
(758, 311)
(750, 340)
(754, 366)
(753, 385)
(777, 382)
(771, 391)
(776, 384)
(766, 420)
(764, 440)
(763, 447)
(760, 441)
(759, 431)
(760, 412)
(761, 404)
(761, 390)
(763, 374)
(760, 359)
(760, 351)
(757, 324)
(744, 250)
(742, 235)
(747, 227)
(749, 221)
(752, 224)
(754, 216)
(753, 248)
(757, 257)
(754, 261)
(747, 272)
(752, 271)
